,Item name,Item Description,Item price,Item image url
64,Healthy Kale Salad,"Kale leaves, mixed lettuces, radiccio lettuce, semi-dried tomatoes, pomegranate, grapefruit, pumpkin seeds, goat cheese, honey/mustard dressing.",AED 44.00,https://images.deliveryhero.io/image/talabat/Menuitems/EF2A4CD2F293613E19C87EC8C5A1E780?width=172&amp;height=172
65,Burrata Salad,"Creamy burrata cheese with mixed green, avocado, pomegranate seed. Served with avocado balsamic dressing.",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/C69DE07AC6897320897559CD80ABFB51?width=172&amp;height=172
66,Pumpkin Soup with Prawns,Creamy pumpkin soup served with sauteed prawns.,AED 35.00,https://images.deliveryhero.io/image/talabat/Menuitems/C42CF5E7681F7CC12233A117863D9935?width=172&amp;height=172
67,Mushroom Soup,"Button mushroom, brown mushroom, red onion, fresh garlic, cream sauce, dry thyme and dry rosemary.",AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/7047D30EE07CCD120439037D8C6BE14B?width=172&amp;height=172
68,Nutella Pizza,"Pizza dough, Nutella, cream, fresh banana, fresh strawberry, walnut mixed and icing sugar.",AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/9A0AA6DD3AEE36999A318D8521568972?width=172&amp;height=172
69,Traditional Tiramisu,Savoiardi biscuits dipped in espresso coffee and layered with velvety mascarpone cream.,AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/15E4530397B8FD528C076B52E7259201?width=172&amp;height=172
70,Triple Chocolate Mousse,"Mousse of white, dark and milk chocolate with vanilla whipped cream and chocolate powder.",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/2A9E3BE3608337B1D9CB347F0253F0F4?width=172&amp;height=172
71,Italian Cheesecake,Soft cheese cake with amaretti biscuits and strawberry jam.,AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/BC237A45D0559E9A87FD1BFDFA027A1A?width=172&amp;height=172
72,Classic Brownies,Chocolate classic brownies. 1 piece.,AED 18.00,https://images.deliveryhero.io/image/talabat/Menuitems/1831AAFA87957E88C1A3D4F18A81319E?width=172&amp;height=172
73,Pepsi,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/A3801255E9A9B4C6153F4F3073F37BAD?width=172&amp;height=172
74,Diet Pepsi,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/5997F8378FC7F0E4120F4D6DB7692E40?width=172&amp;height=172
75,7Up,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/603314A6B293B8E02642AF0ACB211780?width=172&amp;height=172
76,Diet 7Up,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/EAEE7A437B8CABB8394E98574E111BC1?width=172&amp;height=172
77,Mirinda,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/41B6054D2F96F07CB5C0DE8798D4D4CF?width=172&amp;height=172
78,Mountain Dew,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/B7ECC26DE2D6EC97E02C54366E7CF1C0?width=172&amp;height=172
79,Al Ain Water Small,,AED 6.00,https://images.deliveryhero.io/image/talabat/Menuitems/CA406B1CDD6B0E50D91AF73830C60DF0?width=172&amp;height=172
80,Al Ain Water Large,,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/FED8D82E2217A4D3BE42D1BEBA586259?width=172&amp;height=172
