,Item name,Item Description,Item price,Item image url
118,Chocolate Fudge Cake كيكـة فادج بالشوكوالته,Moist chocolate cake topped with fudge sauce and caramelized almonds.,AED 26.00,https://images.deliveryhero.io/image/talabat/Menuitems/978813CB66FD6C82A9522C493E801E8A?width=172&amp;height=172
119,Tiramisù ترياميسو,Traditional coffee flavored italian delight.,AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/1FE3F1A5684723177263D0354F4748E5?width=172&amp;height=172
120,Cheese Cake كيكـة  الجنب,Smooth cream cheese topped on a biscuit crust and baked to perfection.,AED 27.00,https://images.deliveryhero.io/image/talabat/Menuitems/86591386595569CB7778E568EAEA89BC?width=172&amp;height=172
121,Chocolate Ice Cream,Chocolate Ice cream (2 Scoops),AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/F73D46B3FA8E05F8AF456E8DAC3EFBDC?width=172&amp;height=172
122,Strawberry Ice Cream,Strawberry Ice cream (2 Scoops),AED 19.00,/assets/images/img-placeholder.svg
123,Vanilla Ice Cream,Vanilla Ice cream (2 Scoops),AED 19.00,/assets/images/img-placeholder.svg
124,Fresh Orange Juice,,AED 23.00,/assets/images/img-placeholder.svg
125,Thirst Quencher,,AED 17.00,/assets/images/img-placeholder.svg
126,Classic Lemonade,,AED 15.00,https://images.deliveryhero.io/image/talabat/Menuitems/69F016700B21E269D2D24FE4FCA39911?width=172&amp;height=172
127,Ice Tea,,AED 17.00,/assets/images/img-placeholder.svg
128,Oreo Milkshake,,AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/3A77E63FB2965E611B9C92C3D27F32A9?width=172&amp;height=172
129,Coke Light,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/1AA9974CAADC7018F9B1DF2E0BA12C34?width=172&amp;height=172
130,Coke Zero,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/06D821EF70B2DEB173F0CDFDDB687BB3?width=172&amp;height=172
131,Sprite,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/E5AAB3AA7F626D6715C90E66ED1300E2?width=172&amp;height=172
132,Sprite Light,,AED 10.00,/assets/images/img-placeholder.svg
133,Fanta,,AED 10.00,https://images.deliveryhero.io/image/talabat/Menuitems/EC4C571F943338B3AB96C84AA8F558E3?width=172&amp;height=172
134,Fresh Watermelon,,AED 23.00,/assets/images/img-placeholder.svg
135,Ginger Lemonade,,AED 17.00,https://images.deliveryhero.io/image/talabat/Menuitems/2A53B938ADE045F2C7F2F7BFC050C3F8?width=172&amp;height=172
136,Passion fruit Mojito,,AED 23.00,https://images.deliveryhero.io/image/talabat/Menuitems/59B7EA2E86E0D33E852EDE014E68FD3C?width=172&amp;height=172
137,Vanilla Milkshake,,AED 26.00,/assets/images/img-placeholder.svg
138,Italian Sparkling Water 330Ml,,AED 11.00,/assets/images/img-placeholder.svg
139,Italian Sparkling Water 750Ml,,AED 20.00,/assets/images/img-placeholder.svg
140,Arwa 500Ml,,AED 6.00,/assets/images/img-placeholder.svg
141,Arwa (1.5 Litre),,AED 12.00,/assets/images/img-placeholder.svg
142,Green Apple Mojito,,AED 23.00,/assets/images/img-placeholder.svg
143,Strawberry Mojito,,AED 23.00,https://images.deliveryhero.io/image/talabat/Menuitems/423724CB11258DEF26F187A0084E32E0?width=172&amp;height=172
144,Fruit Lemonade,,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/D5B0A71E722011EC68EBD35B9B9300DF?width=172&amp;height=172
145,Orange Lemonade,,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/F44E44E09A4FFBD52BB048B2834F066D?width=172&amp;height=172
146,Chocolate Milkshake,,AED 26.00,/assets/images/img-placeholder.svg
147,Strawberry Milkshake,,AED 26.00,https://images.deliveryhero.io/image/talabat/Menuitems/BC97D9C797D62249178D3FAC00B599B2?width=172&amp;height=172
